"zone","min_par_zone","max_par_zone","round"
"69008",7.2,19.4,11.27
"69007",7.2,17.9,11.38
"69003",9.2,17.7,12.07
"69001",10.1,20.8,12.39
"69006",8.2,16.9,11.55
"69011",6.5,13.9,10.80
"69002",10.1,18.1,12.23
"69013",8.1,11.55,11.53
"69004",8.4,17.1,12.02
"69012",6.5,11.9,10.40
"69005",8.1,19.2,11.70
"69010",8.1,16.4,10.89
"69009",8.4,16.4,11.75
"69000",8.1,18.8,11.54
