"statistic","round"
"Q3",11.600
"Q1",10.900
"Interquartile range",0.700
"minimum",6.500
"skewness",0.000
"maximum",20.800
"median",11.550
"range",14.300
"variance",2.370
"mean",11.550
"standard deviation",1.540
