"data_year","zone","habitat","nombre_pieces","loyer_moyen","surface_moyenne","moyenne_loyer_mensuel","nombre_observations"
2015,"69000","Maison",2,11.3,101,1146,55
2015,"69000","Maison",2,8.2,95,783,225
2015,"69000","Maison",2,8.2,95,783,225
2015,"69000","Maison",2,11.55,63,695.5,69
2015,"69000","Maison",2,8.1,97,780,156
2015,"69000","Maison",2,9.7,89,859,123
2015,"69000","Maison",2,9.7,89,859,123
2015,"69000","Maison",2,11.55,63,695.5,45
2015,"69000","Maison",2,9.4,87,820,78
2015,"69000","Maison",2,9.8,101,995,98
2015,"69000","Maison",2,9.8,101,995,98
2015,"69000","Maison",2,11.55,63,695.5,36
2015,"69000","Maison",2,9.6,103,986,62
2015,"69000","Maison",2,10.3,114,1165,59
2015,"69000","Maison",2,10.3,114,1165,59
2015,"69000","Maison",2,11.55,63,695.5,26
2015,"69000","Maison",2,11.55,63,695.5,33
2015,"69000","Maison",2,11.3,104,1167,98
2015,"69000","Maison",2,11.3,104,1167,98
2015,"69000","Maison",2,11.55,63,695.5,43
2015,"69000","Maison",2,11.3,101,1146,55
2015,"69000","Appartement",1,10.8,61,662,18557
2015,"69000","Appartement",1,14.4,31,452,3198
2015,"69000","Appartement",2,11.9,48,570,5917
2015,"69000","Appartement",3,10.4,68,702,6065
2015,"69000","Appartement",4,9.5,95,899,3377
2015,"69000","Appartement",1,14.4,31,452,3198
2015,"69000","Appartement",2,11.9,48,570,5917
2015,"69000","Appartement",3,10.4,68,702,6065
2015,"69000","Appartement",4,9.5,95,899,3377
2015,"69000","Appartement",1,11.3,58,658,7310
2015,"69000","Appartement",1,11.55,31,459,1505
2015,"69000","Appartement",2,12.3,47,573,2508
2015,"69000","Appartement",3,10.7,68,723,2248
2015,"69000","Appartement",4,9.8,94,922,1049
2015,"69000","Appartement",1,10.5,63,663,11247
2015,"69000","Appartement",1,11.55,32,448,1693
2015,"69000","Appartement",2,11.6,49,567,3409
2015,"69000","Appartement",3,10.2,68,694,3817
2015,"69000","Appartement",4,9.4,95,890,2328
2015,"69000","Appartement",1,11.3,58,658,7310
2015,"69000","Appartement",1,11.55,31,459,1505
2015,"69000","Appartement",2,12.3,47,573,2508
2015,"69000","Appartement",3,10.7,68,723,2248
2015,"69000","Appartement",4,9.8,94,922,1049
2015,"69000","Appartement",1,10.5,63,663,11247
2015,"69000","Appartement",1,11.55,32,448,1693
2015,"69000","Appartement",2,11.6,49,567,3409
2015,"69000","Appartement",3,10.2,68,694,3817
2015,"69000","Appartement",4,9.4,95,890,2328
2015,"69000","Appartement",1,10.9,60,656,7157
2015,"69000","Appartement",1,14.2,32,455,1762
2015,"69000","Appartement",2,11.8,48,565,2627
2015,"69000","Appartement",3,11.55,70,701,1841
2015,"69000","Appartement",4,9.7,108,1042,927
2015,"69000","Appartement",1,11.6,57,668,3199
2015,"69000","Appartement",1,10.5,62,650,3958
2015,"69000","Appartement",1,9.8,62,609,4500
2015,"69000","Appartement",1,13.9,32,441,471
2015,"69000","Appartement",2,11.1,47,524,1073
2015,"69000","Appartement",3,9.6,64,617,1815
2015,"69000","Appartement",4,8.8,85,742,1141
2015,"69000","Appartement",1,10.5,60,628,1454
2015,"69000","Appartement",1,9.5,63,602,3046
2015,"69000","Appartement",1,10.1,64,643,2925
2015,"69000","Appartement",1,11.55,32,451,531
2015,"69000","Appartement",2,11.3,50,565,889
2015,"69000","Appartement",3,9.8,69,681,848
2015,"69000","Appartement",4,8.7,91,796,657
2015,"69000","Appartement",1,10.7,59,630,967
2015,"69000","Appartement",1,9.8,66,648,1958
2015,"69000","Appartement",1,11.1,64,713,2310
2015,"69000","Appartement",1,15.6,29,447,266
2015,"69000","Appartement",2,12.2,49,595,693
2015,"69000","Appartement",3,10.8,69,747,887
2015,"69000","Appartement",4,10.1,94,953,464
2015,"69000","Appartement",1,11.4,62,710,810
2015,"69000","Appartement",1,11.55,65,715,1500
2015,"69000","Appartement",1,11.8,58,687,1665
2015,"69000","Appartement",1,15.3,30,457,168
2015,"69000","Appartement",2,12.7,46,589,635
2015,"69000","Appartement",3,11.6,66,761,674
2015,"69000","Appartement",4,10.3,87,902,188
2015,"69000","Appartement",1,11.6,55,635,880
2015,"69000","Appartement",1,11.9,60,717,785
2015,"69000","Appartement",1,10.9,60,656,7157
2015,"69000","Appartement",1,14.2,32,455,1762
2015,"69000","Appartement",2,11.8,48,565,2627
2015,"69000","Appartement",3,11.55,70,701,1841
2015,"69000","Appartement",4,9.7,108,1042,927
2015,"69000","Appartement",1,11.6,57,668,3199
2015,"69000","Appartement",1,10.5,62,650,3958
2015,"69000","Appartement",1,9.8,62,609,4500
2015,"69000","Appartement",1,13.9,32,441,471
2015,"69000","Appartement",2,11.1,47,524,1073
2015,"69000","Appartement",3,9.6,64,617,1815
2015,"69000","Appartement",4,8.8,85,742,1141
2015,"69000","Appartement",1,10.5,60,628,1454
2015,"69000","Appartement",1,9.5,63,602,3046
2015,"69000","Appartement",1,10.1,64,643,2925
2015,"69000","Appartement",1,11.55,32,451,531
2015,"69000","Appartement",2,11.3,50,565,889
2015,"69000","Appartement",3,9.8,69,681,848
2015,"69000","Appartement",4,8.7,91,796,657
2015,"69000","Appartement",1,10.7,59,630,967
2015,"69000","Appartement",1,9.8,66,648,1958
2015,"69000","Appartement",1,11.1,64,713,2310
2015,"69000","Appartement",1,15.6,29,447,266
2015,"69000","Appartement",2,12.2,49,595,693
2015,"69000","Appartement",3,10.8,69,747,887
2015,"69000","Appartement",4,10.1,94,953,464
2015,"69000","Appartement",1,11.4,62,710,810
2015,"69000","Appartement",1,11.55,65,715,1500
2015,"69000","Appartement",1,11.8,58,687,1665
2015,"69000","Appartement",1,15.3,30,457,168
2015,"69000","Appartement",2,12.7,46,589,635
2015,"69000","Appartement",3,11.6,66,761,674
2015,"69000","Appartement",4,10.3,87,902,188
2015,"69000","Appartement",1,11.6,55,635,880
2015,"69000","Appartement",1,11.9,60,717,785
2015,"69000","Appartement",1,11.3,61,696,11080
2015,"69000","Appartement",1,11.55,63,695.5,25
2015,"69000","Maison",4,10.2,101,1030,1803
2015,"69000","Appartement",4,11.55,63,695.5,24
2015,"69000","Appartement",1,14.8,31,465,2372
2015,"69000","Appartement",2,12.1,49,597,3634
2015,"69000","Appartement",3,10.7,70,748,3246
2015,"69000","Maison",4,10.2,101,1031,1779
2015,"69000","Appartement",1,14.8,31,465,2376
2015,"69000","Appartement",2,12.1,49,597,3644
2015,"69000","Appartement",3,10.7,70,748,3257
2015,"69000","Appartement",2,11.55,63,695.5,49
2015,"69000","Appartement",1,14.8,31,465,2372
2015,"69000","Appartement",2,12.1,49,597,3634
2015,"69000","Appartement",3,10.7,70,748,3246
2015,"69000","Maison",4,10.2,101,1031,1779
2015,"69000","Appartement",1,14.8,31,465,2376
2015,"69000","Appartement",2,12.1,49,597,3644
2015,"69000","Appartement",3,10.7,70,748,3257
2015,"69000","Maison",4,10.2,101,1030,1803
2015,"69000","Appartement",1,11.9,58,695,4661
2015,"69000","Maison",4,10.3,99,1019,642
2015,"69000","Appartement",1,15.1,31,467,1161
2015,"69000","Appartement",2,12.8,48,611,1550
2015,"69000","Appartement",3,11.2,70,783,1308
2015,"69000","Appartement",1,11.1,63,697,6419
2015,"69000","Maison",4,10.2,102,1035,1161
2015,"69000","Appartement",1,14.6,32,463,1215
2015,"69000","Appartement",2,11.8,50,590,2094
2015,"69000","Appartement",3,10.5,70,733,1949
2015,"69000","Appartement",1,11.9,58,695,4661
2015,"69000","Appartement",1,15.1,31,467,1161
2015,"69000","Appartement",2,12.8,48,611,1550
2015,"69000","Appartement",3,11.2,70,783,1308
2015,"69000","Maison",4,10.3,99,1019,642
2015,"69000","Appartement",1,11.1,63,697,6419
2015,"69000","Appartement",1,14.6,32,463,1215
2015,"69000","Appartement",2,11.8,50,590,2094
2015,"69000","Appartement",3,10.5,70,733,1949
2015,"69000","Maison",4,10.2,102,1035,1161
2015,"69000","Appartement",1,11.5,61,697,5566
2015,"69000","Maison",4,10.5,116,1211,731
2015,"69000","Appartement",1,14.5,33,473,1438
2015,"69000","Appartement",2,12.2,49,599,2033
2015,"69000","Appartement",3,10.5,71,751,1364
2015,"69000","Appartement",1,10.4,63,651,2083
2015,"69000","Maison",4,9.4,90,851,451
2015,"69000","Appartement",1,14.6,32,463,322
2015,"69000","Appartement",2,11.5,48,554,496
2015,"69000","Appartement",3,9.9,67,664,814
2015,"69000","Appartement",1,10.8,62,672,1450
2015,"69000","Maison",4,9.7,93,907,288
2015,"69000","Appartement",1,14.1,33,464,343
2015,"69000","Appartement",2,11.6,50,584,455
2015,"69000","Appartement",3,10.1,72,729,364
2015,"69000","Appartement",1,11.5,64,731,1356
2015,"69000","Maison",4,10.4,96,994,270
2015,"69000","Appartement",1,16.3,27,446,175
2015,"69000","Appartement",2,12.4,49,609,425
2015,"69000","Appartement",3,11.2,70,787,486
2015,"69000","Appartement",1,12.3,58,714,625
2015,"69000","Maison",4,11.55,93,1019,63
2015,"69000","Appartement",1,16.2,28,447,98
2015,"69000","Appartement",2,12.7,49,622,235
2015,"69000","Appartement",3,11.55,66,796,229
2015,"69000","Appartement",1,11.5,61,697,5566
2015,"69000","Appartement",1,14.5,33,473,1438
2015,"69000","Appartement",2,12.2,49,599,2033
2015,"69000","Appartement",3,10.5,71,751,1364
2015,"69000","Maison",4,10.5,116,1211,731
2015,"69000","Appartement",1,10.4,63,651,2083
2015,"69000","Appartement",1,14.6,32,463,322
2015,"69000","Appartement",2,11.5,48,554,496
2015,"69000","Appartement",3,9.9,67,664,814
2015,"69000","Maison",4,9.4,90,851,451
